Year,Region,Province/territory,Plan,Average ($)
2022,Urbain / Urban,BC,25/3 Mbps,66.22
2022,Urbain / Urban,AB,25/3 Mbps,63.72
2022,Urbain / Urban,SK,25/3 Mbps,62.08
2022,Urbain / Urban,MB,25/3 Mbps,63.07
2022,Urbain / Urban,ON,25/3 Mbps,55.1
2022,Urbain / Urban,QC,25/3 Mbps,54.08
2022,Urbain / Urban,NB,25/3 Mbps,69.47
2022,Urbain / Urban,PE,25/3 Mbps,44.97
2022,Urbain / Urban,NS,25/3 Mbps,58.31
2022,Urbain / Urban,NL,25/3 Mbps,69.47
2022,Urbain / Urban,YT,25/3 Mbps,110.95
2022,Urbain / Urban,NT,25/3 Mbps,110.95
2022,Urbain / Urban,BC,50/10 Mbps,78.6
2022,Urbain / Urban,AB,50/10 Mbps,80.64
2022,Urbain / Urban,SK,50/10 Mbps,87.3
2022,Urbain / Urban,MB,50/10 Mbps,85.42
2022,Urbain / Urban,ON,50/10 Mbps,73.45
2022,Urbain / Urban,QC,50/10 Mbps,71.45
2022,Urbain / Urban,NB,50/10 Mbps,86.6
2022,Urbain / Urban,PE,50/10 Mbps,89.3
2022,Urbain / Urban,NS,50/10 Mbps,91.17
2022,Urbain / Urban,NL,50/10 Mbps,86.6
2022,Urbain / Urban,YT,50/10 Mbps,159.98
2022,Urbain / Urban,NT,50/10 Mbps,159.98
2022,Urbain / Urban,NU,50/10 Mbps,170
2022,Urbain / Urban,BC,100/15 Mbps,86.59
2022,Urbain / Urban,AB,100/15 Mbps,88.57
2022,Urbain / Urban,SK,100/15 Mbps,85.89
2022,Urbain / Urban,MB,100/15 Mbps,90.25
2022,Urbain / Urban,ON,100/15 Mbps,80.79
2022,Urbain / Urban,QC,100/15 Mbps,74.42
2022,Urbain / Urban,NB,100/15 Mbps,90.81
2022,Urbain / Urban,PE,100/15 Mbps,97.49
2022,Urbain / Urban,NS,100/15 Mbps,104.98
2022,Urbain / Urban,NL,100/15 Mbps,89.98
2022,Urbain / Urban,YT,100/15 Mbps,144.98
2022,Urbain / Urban,NT,100/15 Mbps,164.98
2022,Urbain / Urban,NU,100/15 Mbps,140
2022,Urbain / Urban,BC,200/15 Mbps,95.19
2022,Urbain / Urban,AB,200/15 Mbps,95.19
2022,Urbain / Urban,SK,200/15 Mbps,92.79
2022,Urbain / Urban,MB,200/15 Mbps,92.97
2022,Urbain / Urban,ON,200/15 Mbps,90.15
2022,Urbain / Urban,QC,200/15 Mbps,84.03
2022,Urbain / Urban,NB,200/15 Mbps,93.21
2022,Urbain / Urban,PE,200/15 Mbps,94.97
2022,Urbain / Urban,NS,200/15 Mbps,86.45
2022,Urbain / Urban,NL,200/15 Mbps,93.21
2022,Urbain / Urban,YT,200/15 Mbps,189.95
2022,Urbain / Urban,NT,200/15 Mbps,189.95
2022,Urbain / Urban,BC,940/15 Mbps,110.23
2022,Urbain / Urban,AB,940/15 Mbps,113.98
2022,Urbain / Urban,SK,940/15 Mbps,115.79
2022,Urbain / Urban,MB,940/15 Mbps,114.09
2022,Urbain / Urban,ON,940/15 Mbps,109.11
2022,Urbain / Urban,QC,940/15 Mbps,97.99
2022,Urbain / Urban,NB,940/15 Mbps,105.57
2022,Urbain / Urban,PE,940/15 Mbps,119.98
2022,Urbain / Urban,NS,940/15 Mbps,117.48
2022,Urbain / Urban,NL,940/15 Mbps,110.57
2022,Urbain / Urban,BC,500/15 Mbps,97.92
2022,Urbain / Urban,AB,500/15 Mbps,101.97
2022,Urbain / Urban,SK,500/15 Mbps,103.96
2022,Urbain / Urban,MB,500/15 Mbps,104.64
2022,Urbain / Urban,ON,500/15 Mbps,98.18
2022,Urbain / Urban,QC,500/15 Mbps,92.47
2022,Urbain / Urban,NB,500/15 Mbps,101.97
2022,Urbain / Urban,PE,500/15 Mbps,117.5
2022,Urbain / Urban,NS,500/15 Mbps,120
2022,Urbain / Urban,NL,500/15 Mbps,99.98
2022,Urbain / Urban,YT,500/15 Mbps,239.95
2022,Urbain / Urban,NT,500/15 Mbps,239.95
2022,Urbain / Urban,Nord / North,25/3 Mbps,110.95
2022,Urbain / Urban,Nord / North,50/10 Mbps,163.32
2022,Urbain / Urban,Nord / North,100/15 Mbps,149.98
2022,Urbain / Urban,Nord / North,200/15 Mbps,189.95
2022,Urbain / Urban,Nord / North,500/15 Mbps,239.95
2022,Urbain / Urban,Canada,25/3 Mbps,65.22
2022,Urbain / Urban,Canada,50/10 Mbps,90.35
2022,Urbain / Urban,Canada,100/15 Mbps,94.52
2022,Urbain / Urban,Canada,200/15 Mbps,100.74
2022,Urbain / Urban,Canada,500/15 Mbps,116.23
2022,Urbain / Urban,Canada,940/15 Mbps,111.48
2022,Urbain / Urban,Sud / South,25/3 Mbps,58.96
2022,Urbain / Urban,Sud / South,50/10 Mbps,79.18
2022,Urbain / Urban,Sud / South,100/15 Mbps,85.27
2022,Urbain / Urban,Sud / South,200/15 Mbps,91.26
2022,Urbain / Urban,Sud / South,940/15 Mbps,110.31
2022,Urbain / Urban,Sud / South,500/15 Mbps,101.05
2022,Rural,BC,25/3 Mbps,80.07
2022,Rural,AB,25/3 Mbps,76.54
2022,Rural,SK,25/3 Mbps,81.21
2022,Rural,MB,25/3 Mbps,73.12
2022,Rural,ON,25/3 Mbps,59.98
2022,Rural,QC,25/3 Mbps,60.96
2022,Rural,NB,25/3 Mbps,66.36
2022,Rural,PE,25/3 Mbps,61.92
2022,Rural,NS,25/3 Mbps,69.7
2022,Rural,NL,25/3 Mbps,72.47
2022,Rural,YT,25/3 Mbps,86.95
2022,Rural,NT,25/3 Mbps,107.46
2022,Rural,NU,25/3 Mbps,114.99
2022,Rural,BC,50/10 Mbps,111.32
2022,Rural,AB,50/10 Mbps,99.41
2022,Rural,SK,50/10 Mbps,97.47
2022,Rural,MB,50/10 Mbps,104.98
2022,Rural,ON,50/10 Mbps,75.44
2022,Rural,QC,50/10 Mbps,82.48
2022,Rural,NB,50/10 Mbps,82.65
2022,Rural,PE,50/10 Mbps,92.77
2022,Rural,NS,50/10 Mbps,92.37
2022,Rural,NL,50/10 Mbps,86.97
2022,Rural,YT,50/10 Mbps,139.98
2022,Rural,NT,50/10 Mbps,159.98
2022,Rural,NU,50/10 Mbps,170
2022,Rural,BC,100/15 Mbps,103.4
2022,Rural,AB,100/15 Mbps,104.46
2022,Rural,SK,100/15 Mbps,89.31
2022,Rural,MB,100/15 Mbps,105.01
