Year,Region,Province/territory,Plan,Average ($),Speed
2022,Urbain / Urban,BC,Talk Plan,19.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,Talk Plan,19.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,Talk Plan,23.54,Plus bas prix / Lowest
2022,Urbain / Urban,MB,Talk Plan,20,Plus bas prix / Lowest
2022,Urbain / Urban,ON,Talk Plan,20.6,Plus bas prix / Lowest
2022,Urbain / Urban,QC,Talk Plan,19.5,Plus bas prix / Lowest
2022,Urbain / Urban,NB,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,PE,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,NS,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,NL,Talk Plan,22,Plus bas prix / Lowest
2022,Urbain / Urban,YT,Talk Plan,23,Plus bas prix / Lowest
2022,Urbain / Urban,NT,Talk Plan,22.46,Plus bas prix / Lowest
2022,Urbain / Urban,NU,Talk Plan,22.46,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,Talk Plan,22.64,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,Talk Plan,21.14,Plus bas prix / Lowest
2022,Urbain / Urban,BC,1GB,27.8,Plus bas prix / Lowest
2022,Urbain / Urban,AB,1GB,27.53,Plus bas prix / Lowest
2022,Urbain / Urban,SK,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,MB,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,1GB,27.78,Plus bas prix / Lowest
2022,Urbain / Urban,QC,1GB,27.4,Plus bas prix / Lowest
2022,Urbain / Urban,NB,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,PE,1GB,26.67,Plus bas prix / Lowest
2022,Urbain / Urban,NS,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,NL,1GB,27.5,Plus bas prix / Lowest
2022,Urbain / Urban,YT,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,NT,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,NU,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,1GB,27.67,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,1GB,27.49,Plus bas prix / Lowest
2022,Urbain / Urban,BC,2GB,36.08,Plus bas prix / Lowest
2022,Urbain / Urban,AB,2GB,35.94,Plus bas prix / Lowest
2022,Urbain / Urban,SK,2GB,35.5,Plus bas prix / Lowest
2022,Urbain / Urban,MB,2GB,35.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,2GB,35.89,Plus bas prix / Lowest
2022,Urbain / Urban,QC,2GB,33,Plus bas prix / Lowest
2022,Urbain / Urban,NB,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,PE,2GB,36,Plus bas prix / Lowest
2022,Urbain / Urban,NS,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,NL,2GB,36.25,Plus bas prix / Lowest
2022,Urbain / Urban,YT,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,NT,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,NU,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,2GB,35,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,2GB,35.61,Plus bas prix / Lowest
2022,Urbain / Urban,BC,5GB,49.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,5GB,49.58,Plus bas prix / Lowest
2022,Urbain / Urban,SK,5GB,52.46,Plus bas prix / Lowest
2022,Urbain / Urban,MB,5GB,47.5,Plus bas prix / Lowest
2022,Urbain / Urban,ON,5GB,48.49,Plus bas prix / Lowest
2022,Urbain / Urban,QC,5GB,39.63,Plus bas prix / Lowest
2022,Urbain / Urban,NB,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,PE,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,NS,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,NL,5GB,48.13,Plus bas prix / Lowest
2022,Urbain / Urban,YT,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,NT,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,NU,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,5GB,43.5,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,5GB,47.53,Plus bas prix / Lowest
2022,Urbain / Urban,BC,10GB,58.75,Plus bas prix / Lowest
2022,Urbain / Urban,AB,10GB,59.38,Plus bas prix / Lowest
2022,Urbain / Urban,SK,10GB,65.95,Plus bas prix / Lowest
2022,Urbain / Urban,MB,10GB,61.67,Plus bas prix / Lowest
2022,Urbain / Urban,ON,10GB,57.63,Plus bas prix / Lowest
2022,Urbain / Urban,QC,10GB,43.83,Plus bas prix / Lowest
2022,Urbain / Urban,NB,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,PE,10GB,70,Plus bas prix / Lowest
2022,Urbain / Urban,NS,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,NL,10GB,65,Plus bas prix / Lowest
2022,Urbain / Urban,YT,10GB,57,Plus bas prix / Lowest
2022,Urbain / Urban,NT,10GB,54.67,Plus bas prix / Lowest
2022,Urbain / Urban,NU,10GB,54.67,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,10GB,55.44,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,10GB,60.7,Plus bas prix / Lowest
2022,Urbain / Urban,BC,20GB,65.83,Plus bas prix / Lowest
2022,Urbain / Urban,AB,20GB,66.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,20GB,68.54,Plus bas prix / Lowest
2022,Urbain / Urban,MB,20GB,63,Plus bas prix / Lowest
2022,Urbain / Urban,ON,20GB,64.55,Plus bas prix / Lowest
2022,Urbain / Urban,QC,20GB,53.29,Plus bas prix / Lowest
2022,Urbain / Urban,NB,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,PE,20GB,68.33,Plus bas prix / Lowest
2022,Urbain / Urban,NS,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,NL,20GB,66.43,Plus bas prix / Lowest
2022,Urbain / Urban,YT,20GB,61.33,Plus bas prix / Lowest
2022,Urbain / Urban,NT,20GB,66,Plus bas prix / Lowest
2022,Urbain / Urban,NU,20GB,66,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,20GB,64.44,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,20GB,64.85,Plus bas prix / Lowest
2022,Urbain / Urban,BC,50GB,84.17,Plus bas prix / Lowest
2022,Urbain / Urban,AB,50GB,83.08,Plus bas prix / Lowest
2022,Urbain / Urban,SK,50GB,79.97,Plus bas prix / Lowest
2022,Urbain / Urban,MB,50GB,75,Plus bas prix / Lowest
2022,Urbain / Urban,ON,50GB,81.21,Plus bas prix / Lowest
2022,Urbain / Urban,QC,50GB,74.29,Plus bas prix / Lowest
2022,Urbain / Urban,NB,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,PE,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,NS,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,NL,50GB,83.57,Plus bas prix / Lowest
2022,Urbain / Urban,YT,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,NT,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,NU,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,Nord / North,50GB,85,Plus bas prix / Lowest
2022,Urbain / Urban,Canada,50GB,81.54,Plus bas prix / Lowest
2022,Urbain / Urban,BC,Talk Plan,15,3G
2022,Urbain / Urban,AB,Talk Plan,15,3G
2022,Urbain / Urban,SK,Talk Plan,20.79,3G
2022,Urbain / Urban,MB,Talk Plan,15,3G
2022,Urbain / Urban,ON,Talk Plan,15,3G
2022,Urbain / Urban,QC,Talk Plan,15,3G
2022,Urbain / Urban,NB,Talk Plan,15,3G
2022,Urbain / Urban,PE,Talk Plan,15,3G
2022,Urbain / Urban,NS,Talk Plan,15,3G
2022,Urbain / Urban,NL,Talk Plan,15,3G
2022,Urbain / Urban,YT,Talk Plan,20,3G
2022,Urbain / Urban,NT,Talk Plan,20,3G
2022,Urbain / Urban,NU,Talk Plan,20,3G
2022,Urbain / Urban,Nord / North,Talk Plan,20,3G
2022,Urbain / Urban,Canada,Talk Plan,15.98,3G
2022,Urbain / Urban,BC,1GB,25,3G
2022,Urbain / Urban,AB,1GB,25,3G
2022,Urbain / Urban,SK,1GB,25,3G
2022,Urbain / Urban,MB,1GB,25,3G
2022,Urbain / Urban,ON,1GB,25,3G
2022,Urbain / Urban,QC,1GB,25,3G
2022,Urbain / Urban,NB,1GB,25,3G
2022,Urbain / Urban,PE,1GB,25,3G
2022,Urbain / Urban,NS,1GB,25,3G
2022,Urbain / Urban,NL,1GB,25,3G
2022,Urbain / Urban,YT,1GB,25,3G
2022,Urbain / Urban,NT,1GB,25,3G
2022,Urbain / Urban,NU,1GB,25,3G
2022,Urbain / Urban,Nord / North,1GB,25,3G
2022,Urbain / Urban,Canada,1GB,25,3G
2022,Urbain / Urban,BC,2GB,32.5,3G
2022,Urbain / Urban,AB,2GB,32.5,3G
2022,Urbain / Urban,SK,2GB,32.5,3G
2022,Urbain / Urban,MB,2GB,32.5,3G
2022,Urbain / Urban,ON,2GB,32.5,3G
2022,Urbain / Urban,QC,2GB,32.5,3G
2022,Urbain / Urban,NB,2GB,32.5,3G
2022,Urbain / Urban,PE,2GB,32.5,3G
2022,Urbain / Urban,NS,2GB,32.5,3G
2022,Urbain / Urban,NL,2GB,32.5,3G
2022,Urbain / Urban,YT,2GB,30,3G
2022,Urbain / Urban,NT,2GB,30,3G
2022,Urbain / Urban,NU,2GB,30,3G
2022,Urbain / Urban,Nord / North,2GB,30,3G
2022,Urbain / Urban,Canada,2GB,32.27,3G
2022,Urbain / Urban,BC,5GB,37.5,3G
2022,Urbain / Urban,AB,5GB,37.5,3G
2022,Urbain / Urban,SK,5GB,45.79,3G
2022,Urbain / Urban,MB,5GB,37.5,3G
2022,Urbain / Urban,ON,5GB,37.5,3G
2022,Urbain / Urban,QC,5GB,35,3G
2022,Urbain / Urban,NB,5GB,37.5,3G
2022,Urbain / Urban,PE,5GB,37.5,3G
2022,Urbain / Urban,NS,5GB,37.5,3G
2022,Urbain / Urban,NL,5GB,37.5,3G
2022,Urbain / Urban,YT,5GB,35,3G
2022,Urbain / Urban,NT,5GB,35,3G
2022,Urbain / Urban,NU,5GB,35,3G
2022,Urbain / Urban,Nord / North,5GB,35,3G
2022,Urbain / Urban,Canada,5GB,37.8,3G
2022,Urbain / Urban,BC,Talk Plan,21.25,LTE
2022,Urbain / Urban,AB,Talk Plan,21.46,LTE
2022,Urbain / Urban,SK,Talk Plan,25.6,LTE
2022,Urbain / Urban,MB,Talk Plan,23.33,LTE
2022,Urbain / Urban,ON,Talk Plan,23.34,LTE
2022,Urbain / Urban,QC,Talk Plan,21.75,LTE
2022,Urbain / Urban,NB,Talk Plan,25.5,LTE
