Date,Business Market,Metric,Revenues,Subscribers,Capital Expenditures,Internet Data - Monthly Average (GB)
2020 Q2,Business,"10-24 Mbps download, 1-3 Mbps upload",,269000,,
2016 Q2,Residential,"1.5-10 Mbps download, 1 Mbps upload",,10213000,,
2015 Q1,Residential,Other Internet services,8196000,,,
2022 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,2582000,,
2021 Q2,Residential,Other Internet services,53109000,,,
2023 Q1,Business,"10-24 Mbps download, 1-3 Mbps upload",,238000,,
2019 Q4,Business,"50-99 Mbps download, 10+ Mbps upload",,141000,,
2020 Q1,Business,"10-24 Mbps download, 1-3 Mbps upload",,275000,,
2017 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2017 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2016 Q2,Residential,High-speed (256Kbps+),1764435000,10215000,,
2019 Q4,Business,"10-24 Mbps download, 1-3 Mbps upload",,275000,,
2014 Q2,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2019 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,1839000,,
2023 Q1,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1242000,,
2021 Q1,Business,"25-49 Mbps download, 3-10 Mbps upload",,105000,,
2021 Q3,Business,Dial-up (56Kbps),562000,3000,,
2022 Q2,Business,"10-24 Mbps download, 1-3 Mbps upload",,270000,,
2023 Q2,Business,"50-99 Mbps download, 10+ Mbps upload",,174000,,
2022 Q3,Residential,"50-99 Mbps download, 10+ Mbps upload",,1929000,,
2022 Q2,Residential,"10-24 Mbps download, 1-3 Mbps upload",,998000,,
2018 Q4,Residential,High-speed (256Kbps+),2090722000,11103000,,
2020 Q2,Business,Average uploaded per month per high-speed subscription,,,,47.97833333
2017 Q2,Residential,High-speed (256Kbps+),1936689000,10584000,,
2014 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2018 Q1,Business,High-speed (256Kbps+),283495000,979000,,
2018 Q4,Residential,"1.5-10 Mbps download, 1 Mbps upload",,11084000,,
2022 Q1,Combined,Data,450437000,,,
2021 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1126000,,
2015 Q1,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2019 Q2,Residential,Other Internet services,24422000,,,
2016 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2021 Q2,Business,High-speed (256Kbps+),385531000,1242000,,
2020 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,2082000,,
2020 Q2,Business,Average downloaded per month per high-speed subscription,,,,151.8633333
2015 Q4,Residential,High-speed (256Kbps+),1677688000,10102000,,
2021 Q2,Residential,High-speed (256Kbps+),2461568000,11804000,,
2022 Q4,Business,Average uploaded per month per high-speed subscription,,,,86.38333333
2017 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2014 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2022 Q2,Residential,Other Internet services,37543000,,,
2018 Q4,Residential,Other Internet services,23937000,,,
2019 Q3,Combined,Data,475327000,,,
2021 Q2,Business,Other Internet services,81949000,,,
2022 Q3,Residential,"25-49 Mbps download, 3-10 Mbps upload",,870000,,
2022 Q4,Residential,"100-299 Mbps download, 10+ Mbps upload",,2958000,,
2021 Q4,Business,Dial-up (56Kbps),560000,3000,,
2019 Q2,Business,"1.5-10 Mbps download, 1 Mbps upload",,253000,,
2022 Q2,Business,"100-299 Mbps download, 10+ Mbps upload",,186000,,
2023 Q1,Business,"100-299 Mbps download, 10+ Mbps upload",,184000,,
2022 Q3,Business,"1.5-10 Mbps download, 1 Mbps upload",,117000,,
2014 Q3,Residential,Other Internet services,11027000,,,
2015 Q1,Business,High-speed (256Kbps+),243282000,856000,,
2014 Q2,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2016 Q4,Business,High-speed (256Kbps+),261467000,939000,,
2022 Q3,Business,"100-299 Mbps download, 10+ Mbps upload",,186000,,
2021 Q4,Business,"300-939 Mbps download, 10-200 Mbps upload*",,38000,,
2022 Q3,Residential,High-speed (256Kbps+),2609038000,12370000,,
2018 Q2,Residential,Other Internet services,23020000,,,
2017 Q3,Residential,"1.5-10 Mbps download, 1 Mbps upload",,10617000,,
2015 Q4,Residential,Other Internet services,7353000,,,
2023 Q2,Residential,Flanker,112655000,534000,,
2020 Q4,Residential,Other Internet services,49719000,,,
2016 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2022 Q2,Residential,Flanker,110722000,751000,,
2019 Q1,Residential,Dial-up (56Kbps),762000,19000,,
2023 Q1,Business,Average downloaded per month per high-speed subscription,,,,410.83375
2022 Q4,Combined,Wireline,,,2426524000,
2021 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,933000,,
2020 Q3,Residential,Other Internet services,50001000,,,
2022 Q1,Residential,High-speed (256Kbps+),2559047000,12141000,,
2022 Q3,Combined,Wireline,,,2674385000,
2019 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1269000,,
2023 Q2,Residential,Average uploaded per month per high-speed subscription,,,,33.795
2019 Q1,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,2259000,,
2018 Q2,Business,Dial-up (56Kbps),1791000,12000,,
2021 Q2,Business,Dial-up (56Kbps),679000,3000,,
2020 Q1,Residential,Other Internet services,37779000,,,
2015 Q1,Residential,"10-24 Mbps download, 1-3 Mbps upload",,,,
2022 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,1975000,,
2022 Q1,Business,"50-99 Mbps download, 10+ Mbps upload",,170000,,
2018 Q1,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2020 Q3,Business,Dial-up (56Kbps),950000,4000,,
2018 Q3,Combined,Data,484763000,,,
2020 Q2,Residential,"1.5-10 Mbps download, 1 Mbps upload",,1895000,,
2022 Q2,Business,Dial-up (56Kbps),465000,3000,,
2023 Q1,Business,Other Internet services,88040000,,,
2023 Q2,Residential,"25-49 Mbps download, 3-10 Mbps upload",,985000,,
2021 Q3,Business,"100-299 Mbps download, 10+ Mbps upload",,164000,,
2023 Q2,Business,High-speed (256Kbps+),432848000,1235000,,
2019 Q3,Business,"50-99 Mbps download, 10+ Mbps upload",,138000,,
2016 Q3,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2021 Q3,Business,"10-24 Mbps download, 1-3 Mbps upload",,288000,,
2019 Q2,Business,"50-99 Mbps download, 10+ Mbps upload",,122000,,
2014 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2018 Q2,Combined,Data,517627000,,,
2015 Q4,Combined,Data,583633000,,,
2020 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,1978000,,
2016 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2023 Q2,Business,"940+ download, 200+ Mbps upload",,175000,,
2017 Q1,Business,Dial-up (56Kbps),2002000,14000,,
2023 Q1,Residential,Other Internet services,33263000,,,
2020 Q2,Residential,"100-299 Mbps download, 10+ Mbps upload",,1898000,,
2023 Q2,Business,Average uploaded per month per high-speed subscription,,,,91.99875
2022 Q4,Residential,Average uploaded per month per high-speed subscription,,,,36.85571429
2020 Q3,Business,Average downloaded per month per high-speed subscription,,,,183.9183333
2022 Q4,Residential,"10-24 Mbps download, 1-3 Mbps upload",,923000,,
2021 Q1,Business,"300-939 Mbps download, 10-200 Mbps upload*",,29000,,
2014 Q2,Business,Other Internet services,81706000,,,
2022 Q2,Combined,Data,432344000,,,
2023 Q2,Business,Dial-up (56Kbps),310000,2000,,
2014 Q2,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2022 Q1,Business,"940+ download, 200+ Mbps upload",,136000,,
2019 Q4,Combined,Data,510101000,,,
2019 Q1,Residential,"1.5-10 Mbps download, 1 Mbps upload",,3445000,,
2020 Q3,Residential,"50-99 Mbps download, 10+ Mbps upload",,1993000,,
2021 Q2,Business,"25-49 Mbps download, 3-10 Mbps upload",,105000,,
2022 Q4,Residential,"940+ download, 200+ Mbps upload",,1977000,,
2014 Q2,Combined,Data,557925000,,,
2016 Q4,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2017 Q2,Business,Dial-up (56Kbps),1906000,17000,,
2014 Q1,Residential,"1.5-10 Mbps download, 1 Mbps upload",,9789000,,
2019 Q3,Business,Dial-up (56Kbps),1037000,5000,,
2021 Q2,Business,"1.5-10 Mbps download, 1 Mbps upload",,189000,,
2017 Q2,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2023 Q1,Business,"25-49 Mbps download, 3-10 Mbps upload",,114000,,
2023 Q1,Business,Average uploaded per month per high-speed subscription,,,,84.07125
2020 Q1,Business,Average downloaded per month per high-speed subscription,,,,178.075
2021 Q4,Business,High-speed (256Kbps+),380934000,1259000,,
2015 Q2,Residential,"1.5-10 Mbps download, 1 Mbps upload",,9946000,,
2020 Q2,Residential,Other Internet services,36498000,,,
2020 Q3,Business,"25-49 Mbps download, 3-10 Mbps upload",,107000,,
2022 Q4,Business,"940+ download, 200+ Mbps upload",,161000,,
2019 Q3,Residential,High-speed (256Kbps+),2185017000,11257000,,
2020 Q4,Business,"1.5-10 Mbps download, 1 Mbps upload",,219000,,
2016 Q1,Residential,"100-299 Mbps download, 10+ Mbps upload",,,,
2021 Q3,Business,Other Internet services,83581000,,,
2016 Q3,Residential,Other Internet services,8994000,,,
2016 Q4,Residential,"300-939 Mbps download, 10-200 Mbps upload*",,,,
2019 Q1,Business,"100-299 Mbps download, 10+ Mbps upload",,102000,,
2020 Q3,Business,"10-24 Mbps download, 1-3 Mbps upload",,269000,,
2019 Q2,Business,Average downloaded per month per high-speed subscription,,,,134.96
2022 Q4,Business,"300-939 Mbps download, 10-200 Mbps upload*",,206000,,
2018 Q1,Residential,Dial-up (56Kbps),917000,24000,,
2022 Q1,Business,"1.5-10 Mbps download, 1 Mbps upload",,107000,,
2018 Q3,Residential,Other Internet services,23318000,,,
2022 Q3,Business,Average downloaded per month per high-speed subscription,,,,290.4483333
2014 Q2,Residential,Other Internet services,10572000,,,
2020 Q1,Residential,"25-49 Mbps download, 3-10 Mbps upload",,1141000,,
2017 Q2,Combined,Data,503331000,,,
2019 Q1,Business,"1.5-10 Mbps download, 1 Mbps upload",,168000,,
2015 Q2,Residential,Dial-up (56Kbps),2206000,41000,,
2019 Q4,Business,"1.5-10 Mbps download, 1 Mbps upload",,217000,,
2019 Q1,Business,"50-99 Mbps download, 10+ Mbps upload",,98000,,
2021 Q3,Residential,Average uploaded per month per high-speed subscription,,,,32.74428571
2018 Q1,Business,Dial-up (56Kbps),1858000,15000,,
2018 Q1,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2023 Q1,Residential,Flanker,115742000,746000,,
2021 Q1,Residential,"940+ download, 200+ Mbps upload",,795000,,
2022 Q3,Residential,"100-299 Mbps download, 10+ Mbps upload",,2964000,,
2022 Q2,Combined,Wireline,,,2539910000,
2015 Q4,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2018 Q3,Business,Dial-up (56Kbps),1509000,12000,,
2019 Q4,Business,Average downloaded per month per high-speed subscription,,,,165.728
2017 Q3,Residential,"25-49 Mbps download, 3-10 Mbps upload",,,,
2017 Q4,Residential,"50-99 Mbps download, 10+ Mbps upload",,,,
2020 Q4,Business,"10-24 Mbps download, 1-3 Mbps upload",,264000,,
2022 Q1,Business,"10-24 Mbps download, 1-3 Mbps upload",,278000,,
2021 Q3,Residential,Dial-up (56Kbps),506000,9000,,
2019 Q1,Business,Dial-up (56Kbps),1302000,5000,,
2022 Q2,Business,High-speed (256Kbps+),413561000,1243000,,
2022 Q2,Business,"1.5-10 Mbps download, 1 Mbps upload",,112000,,
2015 Q3,Business,Dial-up (56Kbps),2608000,17000,,
2014 Q1,Business,Dial-up (56Kbps),2796000,22000,,
2019 Q3,Business,"25-49 Mbps download, 3-10 Mbps upload",,105000,,
2017 Q1,Residential,Other Internet services,7955000,,,
2022 Q3,Business,Dial-up (56Kbps),369000,3000,,
2022 Q2,Residential,Average downloaded per month per high-speed subscription,,,,395.0385714
2022 Q3,Residential,Flanker,115036000,751000,,
2016 Q2,Residential,Dial-up (56Kbps),1528000,34000,,
2014 Q2,Business,High-speed (256Kbps+),237112000,817000,,
2018 Q2,Business,Other Internet services,84659000,,,
2020 Q2,Residential,High-speed (256Kbps+),2238189000,11513000,,
2021 Q4,Residential,Average uploaded per month per high-speed subscription,,,,34.14714286
2015 Q4,Business,High-speed (256Kbps+),243348000,878000,,
2020 Q2,Residential,Dial-up (56Kbps),581000,13000,,
2023 Q2,Residential,Dial-up (56Kbps),354000,5000,,
2019 Q3,Business,Average downloaded per month per high-speed subscription,,,,143.4
2021 Q1,Residential,"100-299 Mbps download, 10+ Mbps upload",,2389000,,
2016 Q3,Business,Dial-up (56Kbps),2167000,18000,,
