Date,Business Market,Metric,Subcategory,Revenues,Subscribers,Capital Expenditures,Mobile Phone Data (GB),Wireless Data (GB)
2017 Q4,Combined,Mobile phone plans,Data only,175094000,,,,
2022 Q3,Combined,Mobile services,"Long distance, including roaming",94547000,,,,
2022 Q1,Residential,Mobile broadband and other plans for mobile connected devices,,74170000,,,,
2023 Q2,Combined,Mobile data traffic (GB),,,,,478619170,
2018 Q1,Combined,Mobile phone,Voice and data,,24575000,,,
2021 Q4,Residential,Mobile phone,Voice and data,,24507000,,,
2019 Q3,Combined,Mobile phone,Data only,,2774000,,,
2016 Q4,Combined,Mobile services,"Mobile voice, including roaming",2384785000,,,,
2022 Q3,Residential,Mobile phone,Data only,,178000,,,
2015 Q3,Combined,Mobile phone plans,Voice only including SMS/MMS,733556000,,,,
2019 Q2,Combined,Long distance,,,,,,
2017 Q2,Combined,Mobile services,"Long distance, including roaming",176496000,,,,
2023 Q1,Business,Mobile phone,Roaming,133532000,,,,
2017 Q4,Combined,Mobile services,"Long distance, including roaming",176887000,,,,
2017 Q2,Combined,Basic voice,,,,,,
2021 Q3,Combined,Paging,,,19000,,,
2021 Q2,Business,Paging,,243000,,,,
2022 Q2,Residential,Mobile broadband and other plans for mobile connected devices,,71512000,,,,
2017 Q4,Combined,Paging,,1869000,70000,,,
2021 Q3,Combined,Wireless data traffic (GB),,,,,,432362990
2019 Q3,Combined,Mobile phone plans,Voice only including SMS/MMS,502479000,,,,
2023 Q2,Business,Paging,,,,,,
2017 Q3,Combined,Mobile phone plans,Data only,178153000,,,,
2022 Q3,Combined,Long distance,,,,,,
2016 Q3,Combined,Mobile phone plans,Voice only including SMS/MMS,689943000,,,,
2021 Q3,Combined,Mobile phone plans,Voice and data,4735812000,,,,
2021 Q1,Combined,Wireless,,,,713952000,,
2023 Q1,Business,Mobile phone,Voice only including SMS/MMS,,612000,,,
2022 Q2,Combined,Mobile services,Other mobile services,1445297000,,,,
2022 Q2,Combined,Mobile services,"Long distance, including roaming",90191000,,,,
2014 Q4,Combined,Long distance,,,,,,
2015 Q2,Combined,Basic voice,,,,,,
2016 Q4,Combined,Mobile phone plans,Voice and data,4764211000,,,,
2023 Q2,Residential,Mobile phone,Terminal equipment sales and rentals,1295762000,,,,
2014 Q1,Combined,Mobile phone plans,Data only,217272000,,,,
2019 Q1,Combined,Mobile services,Other mobile services,943295000,,,,
2019 Q2,Combined,Mobile services,"Long distance, including roaming",108015000,,,,
2015 Q2,Combined,Mobile services,"Long distance, including roaming",134058000,,,,
